index,mage_cat,mar_p,dmar,meduc,feduc,cig_cat,dbwt
2803,36-40,N,2.0,6,3,5-10,3351.5
2804,36-40,N,2.0,6,3,none,3145.44
2805,36-40,N,2.0,6,4,none,3056.7916666666665
2806,36-40,N,2.0,6,5,11-20,3330.0
2807,36-40,N,2.0,6,5,none,3420.6363636363635
2808,36-40,N,2.0,6,6,5-10,2845.5
2809,36-40,N,2.0,6,6,none,3370.714285714286
2810,36-40,N,2.0,6,7,none,3105.375
2811,36-40,N,2.0,6,8,none,3203.5
2812,36-40,N,2.0,6,9,11-20,3100.2537313432836
2813,36-40,N,2.0,6,9,21-40,3752.2
2814,36-40,N,2.0,6,9,41+,3377.1428571428573
2815,36-40,N,2.0,6,9,5-10,3020.991304347826
2816,36-40,N,2.0,6,9,<5,2885.722222222222
2817,36-40,N,2.0,6,9,none,3153.3673841663626
2818,36-40,N,2.0,7,1,none,3487.0
2819,36-40,N,2.0,7,3,5-10,3820.0
2820,36-40,N,2.0,7,3,none,3006.3125
2821,36-40,N,2.0,7,4,none,3118.1666666666665
2822,36-40,N,2.0,7,5,none,3320.4
2823,36-40,N,2.0,7,6,none,3375.529411764706
2824,36-40,N,2.0,7,7,none,3154.6666666666665
2825,36-40,N,2.0,7,8,none,3004.0
2826,36-40,N,2.0,7,9,11-20,3066.090909090909
2827,36-40,N,2.0,7,9,21-40,3499.5
2828,36-40,N,2.0,7,9,41+,3515.0
2829,36-40,N,2.0,7,9,5-10,3062.6
2830,36-40,N,2.0,7,9,<5,3305.875
2831,36-40,N,2.0,7,9,none,3135.585313174946
2832,36-40,N,2.0,8,3,<5,3968.0
2833,36-40,N,2.0,8,4,none,3200.0
2834,36-40,N,2.0,8,5,none,906.0
2835,36-40,N,2.0,8,6,11-20,2693.0
2836,36-40,N,2.0,8,6,none,3803.285714285714
2837,36-40,N,2.0,8,7,none,4088.3333333333335
2838,36-40,N,2.0,8,8,none,3192.5
2839,36-40,N,2.0,8,9,11-20,2300.0
2840,36-40,N,2.0,8,9,41+,3428.0
2841,36-40,N,2.0,8,9,5-10,3166.5
2842,36-40,N,2.0,8,9,<5,3375.0
2843,36-40,N,2.0,8,9,none,3131.2815789473684
2844,36-40,N,2.0,9,1,none,3260.0
2845,36-40,N,2.0,9,3,none,3585.0
2846,36-40,N,2.0,9,4,none,4224.0
2847,36-40,N,2.0,9,6,none,3941.0
2848,36-40,N,2.0,9,7,none,3685.0
2849,36-40,N,2.0,9,9,11-20,2794.133333333333
2850,36-40,N,2.0,9,9,21-40,1786.6666666666667
2851,36-40,N,2.0,9,9,41+,2784.5865384615386
2852,36-40,N,2.0,9,9,5-10,2722.3571428571427
2853,36-40,N,2.0,9,9,<5,3093.285714285714
2854,36-40,N,2.0,9,9,none,2936.2675
2855,36-40,X,1.0,1,1,11-20,3012.4
2856,36-40,X,1.0,1,1,21-40,3550.0
2857,36-40,X,1.0,1,1,41+,3582.0
2858,36-40,X,1.0,1,1,5-10,3358.6666666666665
2859,36-40,X,1.0,1,1,<5,3190.777777777778
2860,36-40,X,1.0,1,1,none,3351.633502538071
2861,36-40,X,1.0,1,2,11-20,2585.8333333333335
2862,36-40,X,1.0,1,2,21-40,3297.5
2863,36-40,X,1.0,1,2,41+,2287.5
2864,36-40,X,1.0,1,2,5-10,2685.375
2865,36-40,X,1.0,1,2,<5,3514.3333333333335
2866,36-40,X,1.0,1,2,none,3273.309409888357
2867,36-40,X,1.0,1,3,11-20,2844.7272727272725
2868,36-40,X,1.0,1,3,21-40,3011.6666666666665
2869,36-40,X,1.0,1,3,41+,2591.3333333333335
2870,36-40,X,1.0,1,3,5-10,3038.75
2871,36-40,X,1.0,1,3,<5,2548.0
2872,36-40,X,1.0,1,3,none,3268.606092436975
2873,36-40,X,1.0,1,4,11-20,2733.3333333333335
2874,36-40,X,1.0,1,4,21-40,2451.0
2875,36-40,X,1.0,1,4,41+,2640.0
2876,36-40,X,1.0,1,4,5-10,2707.5
2877,36-40,X,1.0,1,4,<5,3670.0
2878,36-40,X,1.0,1,4,none,3210.2212765957447
2879,36-40,X,1.0,1,5,5-10,3241.5
2880,36-40,X,1.0,1,5,none,3176.3917525773195
2881,36-40,X,1.0,1,6,21-40,2005.0
2882,36-40,X,1.0,1,6,<5,2568.0
2883,36-40,X,1.0,1,6,none,3235.0
2884,36-40,X,1.0,1,7,11-20,3105.0
2885,36-40,X,1.0,1,7,none,3238.5
2886,36-40,X,1.0,1,8,none,3203.125
2887,36-40,X,1.0,1,9,11-20,2899.0
2888,36-40,X,1.0,1,9,21-40,2746.0
2889,36-40,X,1.0,1,9,41+,2435.0
2890,36-40,X,1.0,1,9,5-10,3007.4285714285716
2891,36-40,X,1.0,1,9,<5,2722.0
2892,36-40,X,1.0,1,9,none,3193.866666666667
2893,36-40,X,1.0,2,1,11-20,3118.785714285714
2894,36-40,X,1.0,2,1,21-40,2724.3333333333335
2895,36-40,X,1.0,2,1,41+,2610.3333333333335
2896,36-40,X,1.0,2,1,5-10,2968.9
2897,36-40,X,1.0,2,1,<5,3260.8333333333335
2898,36-40,X,1.0,2,1,none,3248.1022222222223
2899,36-40,X,1.0,2,2,11-20,3066.4153846153845
2900,36-40,X,1.0,2,2,21-40,2940.1428571428573
2901,36-40,X,1.0,2,2,41+,3097.823529411765
2902,36-40,X,1.0,2,2,5-10,3078.0
2903,36-40,X,1.0,2,2,<5,3362.75
2904,36-40,X,1.0,2,2,none,3239.090419806243
2905,36-40,X,1.0,2,3,11-20,2921.7261904761904
2906,36-40,X,1.0,2,3,21-40,2697.777777777778
2907,36-40,X,1.0,2,3,41+,2822.3636363636365
2908,36-40,X,1.0,2,3,5-10,2823.4117647058824
2909,36-40,X,1.0,2,3,<5,2866.4333333333334
2910,36-40,X,1.0,2,3,none,3233.6633554083887
2911,36-40,X,1.0,2,4,11-20,3132.5185185185187
2912,36-40,X,1.0,2,4,21-40,2872.0
2913,36-40,X,1.0,2,4,41+,3130.0
2914,36-40,X,1.0,2,4,5-10,2923.769230769231
2915,36-40,X,1.0,2,4,<5,3088.4444444444443
2916,36-40,X,1.0,2,4,none,3252.817322834646
2917,36-40,X,1.0,2,5,11-20,3071.6666666666665
2918,36-40,X,1.0,2,5,21-40,3320.0
2919,36-40,X,1.0,2,5,41+,3480.0
2920,36-40,X,1.0,2,5,5-10,2874.4285714285716
2921,36-40,X,1.0,2,5,<5,3147.0
2922,36-40,X,1.0,2,5,none,3290.288537549407
2923,36-40,X,1.0,2,6,11-20,3459.0
2924,36-40,X,1.0,2,6,5-10,3010.5
2925,36-40,X,1.0,2,6,none,3220.4598765432097
2926,36-40,X,1.0,2,7,none,3237.1574074074074
2927,36-40,X,1.0,2,8,none,3300.4347826086955
2928,36-40,X,1.0,2,9,11-20,2840.4324324324325
2929,36-40,X,1.0,2,9,21-40,3232.6
2930,36-40,X,1.0,2,9,41+,2598.0
2931,36-40,X,1.0,2,9,5-10,2777.0
2932,36-40,X,1.0,2,9,<5,2745.230769230769
2933,36-40,X,1.0,2,9,none,3075.7906976744184
2934,36-40,X,1.0,3,1,11-20,2839.0833333333335
2935,36-40,X,1.0,3,1,21-40,3290.0
2936,36-40,X,1.0,3,1,41+,3121.5
2937,36-40,X,1.0,3,1,5-10,2703.4666666666667
2938,36-40,X,1.0,3,1,<5,2915.7
2939,36-40,X,1.0,3,1,none,3276.0846715328466
2940,36-40,X,1.0,3,2,11-20,3011.94
2941,36-40,X,1.0,3,2,21-40,2732.133333333333
2942,36-40,X,1.0,3,2,41+,3056.5714285714284
2943,36-40,X,1.0,3,2,5-10,2995.7115384615386
2944,36-40,X,1.0,3,2,<5,2769.4857142857145
2945,36-40,X,1.0,3,2,none,3251.982448809026
2946,36-40,X,1.0,3,3,11-20,3053.1559633027523
2947,36-40,X,1.0,3,3,21-40,2956.435483870968
2948,36-40,X,1.0,3,3,41+,3242.5402298850577
2949,36-40,X,1.0,3,3,5-10,3049.6384297520663
2950,36-40,X,1.0,3,3,<5,3115.3175675675675
2951,36-40,X,1.0,3,3,none,3239.3791988385137
2952,36-40,X,1.0,3,4,11-20,3067.973451327434
2953,36-40,X,1.0,3,4,21-40,2880.230769230769
2954,36-40,X,1.0,3,4,41+,3336.0454545454545
2955,36-40,X,1.0,3,4,5-10,3076.31914893617
2956,36-40,X,1.0,3,4,<5,3182.4137931034484
2957,36-40,X,1.0,3,4,none,3291.360975609756
2958,36-40,X,1.0,3,5,11-20,2968.5151515151515
2959,36-40,X,1.0,3,5,21-40,2654.5
2960,36-40,X,1.0,3,5,41+,3262.3333333333335
2961,36-40,X,1.0,3,5,5-10,3035.3953488372094
2962,36-40,X,1.0,3,5,<5,2877.3846153846152
2963,36-40,X,1.0,3,5,none,3272.070707070707
2964,36-40,X,1.0,3,6,11-20,3107.4761904761904
2965,36-40,X,1.0,3,6,21-40,3117.0
2966,36-40,X,1.0,3,6,41+,3238.7
2967,36-40,X,1.0,3,6,5-10,2895.6285714285714
2968,36-40,X,1.0,3,6,<5,3121.5
2969,36-40,X,1.0,3,6,none,3280.393493150685
2970,36-40,X,1.0,3,7,11-20,2997.0
2971,36-40,X,1.0,3,7,21-40,3810.0
2972,36-40,X,1.0,3,7,41+,3635.0
2973,36-40,X,1.0,3,7,5-10,3494.4
2974,36-40,X,1.0,3,7,<5,4010.0
2975,36-40,X,1.0,3,7,none,3266.4392857142857
2976,36-40,X,1.0,3,8,21-40,2433.0
2977,36-40,X,1.0,3,8,5-10,2891.5
2978,36-40,X,1.0,3,8,<5,3175.0
2979,36-40,X,1.0,3,8,none,3304.898678414097
2980,36-40,X,1.0,3,9,11-20,2914.717741935484
2981,36-40,X,1.0,3,9,21-40,2488.75
2982,36-40,X,1.0,3,9,41+,3130.96
2983,36-40,X,1.0,3,9,5-10,3148.2291666666665
2984,36-40,X,1.0,3,9,<5,3054.5945945945946
2985,36-40,X,1.0,3,9,none,3187.912087912088
2986,36-40,X,1.0,4,1,11-20,3185.714285714286
2987,36-40,X,1.0,4,1,21-40,2480.0
2988,36-40,X,1.0,4,1,41+,2728.5
2989,36-40,X,1.0,4,1,5-10,3132.25
2990,36-40,X,1.0,4,1,<5,2749.3333333333335
2991,36-40,X,1.0,4,1,none,3238.4662004662005
2992,36-40,X,1.0,4,2,11-20,3104.9701492537315
2993,36-40,X,1.0,4,2,21-40,3044.6923076923076
2994,36-40,X,1.0,4,2,41+,3247.8888888888887
2995,36-40,X,1.0,4,2,5-10,2979.590163934426
2996,36-40,X,1.0,4,2,<5,3273.7894736842104
2997,36-40,X,1.0,4,2,none,3213.8315301391035
2998,36-40,X,1.0,4,3,11-20,3103.937254901961
2999,36-40,X,1.0,4,3,21-40,2889.823529411765
3000,36-40,X,1.0,4,3,41+,3253.2
3001,36-40,X,1.0,4,3,5-10,3157.0465949820787
3002,36-40,X,1.0,4,3,<5,3187.3846153846152
3003,36-40,X,1.0,4,3,none,3241.517532373054
3004,36-40,X,1.0,4,4,11-20,3105.3031674208146
3005,36-40,X,1.0,4,4,21-40,3013.190476190476
3006,36-40,X,1.0,4,4,41+,3362.9268292682927
3007,36-40,X,1.0,4,4,5-10,3204.3694267515925
3008,36-40,X,1.0,4,4,<5,3154.8607594936707
3009,36-40,X,1.0,4,4,none,3269.715189873418
3010,36-40,X,1.0,4,5,11-20,3166.3125
3011,36-40,X,1.0,4,5,21-40,3160.1666666666665
3012,36-40,X,1.0,4,5,41+,4122.125
3013,36-40,X,1.0,4,5,5-10,3300.2533333333336
3014,36-40,X,1.0,4,5,<5,3377.1304347826085
3015,36-40,X,1.0,4,5,none,3262.545540796964
3016,36-40,X,1.0,4,6,11-20,2989.9454545454546
3017,36-40,X,1.0,4,6,21-40,3533.6666666666665
3018,36-40,X,1.0,4,6,41+,3289.1875
3019,36-40,X,1.0,4,6,5-10,3215.5060240963853
3020,36-40,X,1.0,4,6,<5,3301.529411764706
3021,36-40,X,1.0,4,6,none,3304.610400538539
3022,36-40,X,1.0,4,7,11-20,3075.9333333333334
3023,36-40,X,1.0,4,7,21-40,2967.5
3024,36-40,X,1.0,4,7,41+,3109.125
3025,36-40,X,1.0,4,7,5-10,3076.285714285714
3026,36-40,X,1.0,4,7,<5,3425.6666666666665
3027,36-40,X,1.0,4,7,none,3316.4096185737976
3028,36-40,X,1.0,4,8,11-20,2692.5
3029,36-40,X,1.0,4,8,21-40,3289.0
3030,36-40,X,1.0,4,8,5-10,3229.0
3031,36-40,X,1.0,4,8,<5,3270.0
3032,36-40,X,1.0,4,8,none,3313.808580858086
3033,36-40,X,1.0,4,9,11-20,2977.098901098901
3034,36-40,X,1.0,4,9,21-40,2795.285714285714
3035,36-40,X,1.0,4,9,41+,3068.1666666666665
3036,36-40,X,1.0,4,9,5-10,2821.4021739130435
3037,36-40,X,1.0,4,9,<5,2966.294117647059
3038,36-40,X,1.0,4,9,none,3156.3805774278217
3039,36-40,X,1.0,5,1,11-20,2913.3333333333335
3040,36-40,X,1.0,5,1,5-10,3585.0
3041,36-40,X,1.0,5,1,<5,3080.0
3042,36-40,X,1.0,5,1,none,3203.7817258883247
3043,36-40,X,1.0,5,2,11-20,2980.5
3044,36-40,X,1.0,5,2,21-40,2356.0
3045,36-40,X,1.0,5,2,41+,2536.0
3046,36-40,X,1.0,5,2,5-10,2983.0384615384614
3047,36-40,X,1.0,5,2,<5,2998.6666666666665
3048,36-40,X,1.0,5,2,none,3177.3642276422765
3049,36-40,X,1.0,5,3,11-20,3057.7522123893805
3050,36-40,X,1.0,5,3,21-40,3161.0555555555557
3051,36-40,X,1.0,5,3,41+,2974.9333333333334
3052,36-40,X,1.0,5,3,5-10,3102.6346153846152
3053,36-40,X,1.0,5,3,<5,3259.3777777777777
3054,36-40,X,1.0,5,3,none,3241.59243697479
3055,36-40,X,1.0,5,4,11-20,2969.3802816901407
3056,36-40,X,1.0,5,4,21-40,2741.5
3057,36-40,X,1.0,5,4,41+,3286.294117647059
3058,36-40,X,1.0,5,4,5-10,3139.023076923077
3059,36-40,X,1.0,5,4,<5,3212.162162162162
3060,36-40,X,1.0,5,4,none,3292.4125597837387
3061,36-40,X,1.0,5,5,11-20,3006.769230769231
3062,36-40,X,1.0,5,5,21-40,3148.0
3063,36-40,X,1.0,5,5,41+,2862.8571428571427
3064,36-40,X,1.0,5,5,5-10,3178.2
3065,36-40,X,1.0,5,5,<5,3245.1363636363635
3066,36-40,X,1.0,5,5,none,3273.9052423777143
3067,36-40,X,1.0,5,6,11-20,3095.5806451612902
3068,36-40,X,1.0,5,6,21-40,2479.0
3069,36-40,X,1.0,5,6,41+,3411.3333333333335
3070,36-40,X,1.0,5,6,5-10,3222.245614035088
3071,36-40,X,1.0,5,6,<5,3004.8260869565215
3072,36-40,X,1.0,5,6,none,3300.954773869347
3073,36-40,X,1.0,5,7,11-20,2962.3333333333335
3074,36-40,X,1.0,5,7,41+,2921.25
3075,36-40,X,1.0,5,7,5-10,3237.3076923076924
3076,36-40,X,1.0,5,7,<5,3863.6666666666665
3077,36-40,X,1.0,5,7,none,3307.323113207547
3078,36-40,X,1.0,5,8,41+,2880.0
3079,36-40,X,1.0,5,8,5-10,2770.0
3080,36-40,X,1.0,5,8,none,3345.2371916508537
3081,36-40,X,1.0,5,9,11-20,3112.5555555555557
3082,36-40,X,1.0,5,9,21-40,2597.2
3083,36-40,X,1.0,5,9,41+,3283.5
3084,36-40,X,1.0,5,9,5-10,2962.4054054054054
3085,36-40,X,1.0,5,9,<5,2921.875
3086,36-40,X,1.0,5,9,none,3159.2620865139947
3087,36-40,X,1.0,6,1,11-20,3317.0
3088,36-40,X,1.0,6,1,41+,2090.0
3089,36-40,X,1.0,6,1,5-10,2296.0
3090,36-40,X,1.0,6,1,<5,3770.0
3091,36-40,X,1.0,6,1,none,3262.917857142857
3092,36-40,X,1.0,6,2,11-20,3193.0
3093,36-40,X,1.0,6,2,21-40,2808.3333333333335
3094,36-40,X,1.0,6,2,41+,3478.3333333333335
3095,36-40,X,1.0,6,2,5-10,3090.5833333333335
3096,36-40,X,1.0,6,2,<5,2871.25
3097,36-40,X,1.0,6,2,none,3252.7948417350526
3098,36-40,X,1.0,6,3,11-20,3044.0140845070423
3099,36-40,X,1.0,6,3,21-40,3007.3333333333335
3100,36-40,X,1.0,6,3,41+,3209.3846153846152
3101,36-40,X,1.0,6,3,5-10,3155.216
3102,36-40,X,1.0,6,3,<5,3398.76
3103,36-40,X,1.0,6,3,none,3300.4612296398254
3104,36-40,X,1.0,6,4,11-20,3143.137931034483
3105,36-40,X,1.0,6,4,21-40,2405.6
3106,36-40,X,1.0,6,4,41+,3664.88
3107,36-40,X,1.0,6,4,5-10,3327.3661971830984
3108,36-40,X,1.0,6,4,<5,3168.2982456140353
3109,36-40,X,1.0,6,4,none,3313.7149594572234
3110,36-40,X,1.0,6,5,11-20,3000.5
3111,36-40,X,1.0,6,5,21-40,3235.0
3112,36-40,X,1.0,6,5,41+,3180.529411764706
3113,36-40,X,1.0,6,5,5-10,3152.5555555555557
3114,36-40,X,1.0,6,5,<5,3256.5
3115,36-40,X,1.0,6,5,none,3296.8242147922997
3116,36-40,X,1.0,6,6,11-20,3019.2608695652175
3117,36-40,X,1.0,6,6,21-40,3466.6666666666665
3118,36-40,X,1.0,6,6,41+,3295.3037974683543
3119,36-40,X,1.0,6,6,5-10,3235.953488372093
3120,36-40,X,1.0,6,6,<5,3442.7758620689656
3121,36-40,X,1.0,6,6,none,3324.3599753441545
3122,36-40,X,1.0,6,7,11-20,3045.75
3123,36-40,X,1.0,6,7,21-40,2710.0
3124,36-40,X,1.0,6,7,41+,3397.5
3125,36-40,X,1.0,6,7,5-10,3188.3
3126,36-40,X,1.0,6,7,<5,3114.2413793103447
3127,36-40,X,1.0,6,7,none,3330.335144815661
3128,36-40,X,1.0,6,8,11-20,2872.0
3129,36-40,X,1.0,6,8,41+,3230.8
3130,36-40,X,1.0,6,8,5-10,2800.125
3131,36-40,X,1.0,6,8,<5,2775.5
3132,36-40,X,1.0,6,8,none,3321.9892267593395
3133,36-40,X,1.0,6,9,11-20,2919.6428571428573
3134,36-40,X,1.0,6,9,21-40,3270.0
3135,36-40,X,1.0,6,9,41+,2899.8888888888887
3136,36-40,X,1.0,6,9,5-10,3231.3809523809523
3137,36-40,X,1.0,6,9,<5,2872.5
3138,36-40,X,1.0,6,9,none,3232.579795021962
3139,36-40,X,1.0,7,1,none,3368.1847826086955
3140,36-40,X,1.0,7,2,11-20,3753.0
3141,36-40,X,1.0,7,2,41+,1570.0
3142,36-40,X,1.0,7,2,5-10,2499.5
3143,36-40,X,1.0,7,2,<5,3561.25
3144,36-40,X,1.0,7,2,none,3280.855421686747
3145,36-40,X,1.0,7,3,11-20,3307.1176470588234
3146,36-40,X,1.0,7,3,21-40,3130.0
3147,36-40,X,1.0,7,3,41+,3394.6666666666665
3148,36-40,X,1.0,7,3,5-10,2937.7948717948716
3149,36-40,X,1.0,7,3,<5,3761.090909090909
3150,36-40,X,1.0,7,3,none,3300.472030651341
3151,36-40,X,1.0,7,4,11-20,3335.1666666666665
3152,36-40,X,1.0,7,4,21-40,2617.5
3153,36-40,X,1.0,7,4,41+,3183.5454545454545
3154,36-40,X,1.0,7,4,5-10,3331.3076923076924
3155,36-40,X,1.0,7,4,<5,3096.1666666666665
3156,36-40,X,1.0,7,4,none,3291.6866718628216
3157,36-40,X,1.0,7,5,11-20,3279.230769230769
3158,36-40,X,1.0,7,5,21-40,3127.5
3159,36-40,X,1.0,7,5,41+,3000.5454545454545
3160,36-40,X,1.0,7,5,5-10,3280.818181818182
3161,36-40,X,1.0,7,5,<5,2946.181818181818
3162,36-40,X,1.0,7,5,none,3312.2424317617865
3163,36-40,X,1.0,7,6,11-20,3146.409090909091
3164,36-40,X,1.0,7,6,21-40,2315.0
3165,36-40,X,1.0,7,6,41+,3293.9756097560976
3166,36-40,X,1.0,7,6,5-10,3167.809523809524
3167,36-40,X,1.0,7,6,<5,3339.8571428571427
3168,36-40,X,1.0,7,6,none,3323.515447743181
3169,36-40,X,1.0,7,7,11-20,3215.5833333333335
3170,36-40,X,1.0,7,7,41+,3278.846153846154
3171,36-40,X,1.0,7,7,5-10,3074.3636363636365
3172,36-40,X,1.0,7,7,<5,3475.7894736842104
3173,36-40,X,1.0,7,7,none,3318.4947333141818
3174,36-40,X,1.0,7,8,41+,3158.6428571428573
3175,36-40,X,1.0,7,8,5-10,2917.0
3176,36-40,X,1.0,7,8,<5,3157.5
3177,36-40,X,1.0,7,8,none,3316.2674903245015
3178,36-40,X,1.0,7,9,11-20,2961.75
3179,36-40,X,1.0,7,9,41+,3605.8
3180,36-40,X,1.0,7,9,5-10,2369.0
3181,36-40,X,1.0,7,9,<5,3530.0
3182,36-40,X,1.0,7,9,none,3270.3782991202347
3183,36-40,X,1.0,8,1,none,2848.4166666666665
3184,36-40,X,1.0,8,2,41+,2640.0
3185,36-40,X,1.0,8,2,none,3276.125
3186,36-40,X,1.0,8,3,11-20,3014.8
3187,36-40,X,1.0,8,3,41+,3630.0
3188,36-40,X,1.0,8,3,5-10,3435.4285714285716
3189,36-40,X,1.0,8,3,<5,3121.5
3190,36-40,X,1.0,8,3,none,3267.535714285714
3191,36-40,X,1.0,8,4,11-20,2741.2
3192,36-40,X,1.0,8,4,21-40,3800.0
3193,36-40,X,1.0,8,4,41+,3735.0
3194,36-40,X,1.0,8,4,5-10,3530.0
3195,36-40,X,1.0,8,4,<5,3541.0
3196,36-40,X,1.0,8,4,none,3325.9010574018125
3197,36-40,X,1.0,8,5,41+,2951.6666666666665
3198,36-40,X,1.0,8,5,5-10,2879.0
3199,36-40,X,1.0,8,5,<5,3018.0
3200,36-40,X,1.0,8,5,none,3267.1543942992876
3201,36-40,X,1.0,8,6,11-20,3572.5
3202,36-40,X,1.0,8,6,41+,2940.0
3203,36-40,X,1.0,8,6,5-10,3334.5833333333335
3204,36-40,X,1.0,8,6,<5,2818.8
3205,36-40,X,1.0,8,6,none,3298.836518046709
3206,36-40,X,1.0,8,7,11-20,3541.5
3207,36-40,X,1.0,8,7,41+,3067.181818181818
3208,36-40,X,1.0,8,7,5-10,2783.5
3209,36-40,X,1.0,8,7,<5,3295.6
3210,36-40,X,1.0,8,7,none,3286.6265866209264
3211,36-40,X,1.0,8,8,11-20,2998.5
3212,36-40,X,1.0,8,8,41+,3327.285714285714
3213,36-40,X,1.0,8,8,5-10,3910.0
3214,36-40,X,1.0,8,8,<5,3011.3333333333335
3215,36-40,X,1.0,8,8,none,3283.3483940042825
3216,36-40,X,1.0,8,9,41+,3335.0
3217,36-40,X,1.0,8,9,none,3130.766355140187
3218,36-40,X,1.0,9,1,41+,3145.0
3219,36-40,X,1.0,9,1,5-10,793.0
3220,36-40,X,1.0,9,1,none,3106.3488372093025
3221,36-40,X,1.0,9,2,11-20,3760.0
3222,36-40,X,1.0,9,2,41+,2845.0
3223,36-40,X,1.0,9,2,5-10,1220.0
3224,36-40,X,1.0,9,2,none,3262.4761904761904
3225,36-40,X,1.0,9,3,41+,2492.5
3226,36-40,X,1.0,9,3,none,3269.009708737864
3227,36-40,X,1.0,9,4,21-40,2835.0
3228,36-40,X,1.0,9,4,41+,2721.3333333333335
3229,36-40,X,1.0,9,4,5-10,1330.0
3230,36-40,X,1.0,9,4,none,3203.6046511627906
3231,36-40,X,1.0,9,5,5-10,3430.0
3232,36-40,X,1.0,9,5,<5,3255.0
3233,36-40,X,1.0,9,5,none,3118.9148936170213
3234,36-40,X,1.0,9,6,41+,2888.0
3235,36-40,X,1.0,9,6,none,3171.7894736842104
3236,36-40,X,1.0,9,7,5-10,2410.0
3237,36-40,X,1.0,9,7,none,3380.6857142857143
3238,36-40,X,1.0,9,8,none,3172.962962962963
3239,36-40,X,1.0,9,9,11-20,2929.25
3240,36-40,X,1.0,9,9,41+,3155.402777777778
3241,36-40,X,1.0,9,9,5-10,2868.6111111111113
3242,36-40,X,1.0,9,9,<5,2533.0
3243,36-40,X,1.0,9,9,none,3275.911260709914
3244,36-40,Y,2.0,1,1,11-20,2830.5
3245,36-40,Y,2.0,1,1,21-40,2867.5
3246,36-40,Y,2.0,1,1,41+,3482.6363636363635
3247,36-40,Y,2.0,1,1,5-10,2736.2
3248,36-40,Y,2.0,1,1,<5,2988.714285714286
3249,36-40,Y,2.0,1,1,none,3272.9177458872946
3250,36-40,Y,2.0,1,2,11-20,2932.769230769231
3251,36-40,Y,2.0,1,2,21-40,3000.0
3252,36-40,Y,2.0,1,2,41+,3355.2
3253,36-40,Y,2.0,1,2,5-10,3050.5714285714284
3254,36-40,Y,2.0,1,2,<5,3218.6666666666665
3255,36-40,Y,2.0,1,2,none,3238.323149236193
3256,36-40,Y,2.0,1,3,11-20,2735.5454545454545
3257,36-40,Y,2.0,1,3,21-40,3277.0
3258,36-40,Y,2.0,1,3,41+,3026.5
3259,36-40,Y,2.0,1,3,5-10,2553.181818181818
3260,36-40,Y,2.0,1,3,<5,5041.0
3261,36-40,Y,2.0,1,3,none,3244.8819444444443
3262,36-40,Y,2.0,1,4,11-20,3665.5
3263,36-40,Y,2.0,1,4,21-40,2594.0
3264,36-40,Y,2.0,1,4,5-10,3147.0
3265,36-40,Y,2.0,1,4,<5,3472.5
3266,36-40,Y,2.0,1,4,none,3350.0087719298244
3267,36-40,Y,2.0,1,5,11-20,3385.0
3268,36-40,Y,2.0,1,5,5-10,3130.0
3269,36-40,Y,2.0,1,5,<5,3033.5
3270,36-40,Y,2.0,1,5,none,3096.5333333333333
3271,36-40,Y,2.0,1,6,5-10,3183.5
3272,36-40,Y,2.0,1,6,none,3119.641025641026
3273,36-40,Y,2.0,1,7,41+,3540.0
3274,36-40,Y,2.0,1,7,none,3062.6666666666665
3275,36-40,Y,2.0,1,8,none,2986.0
3276,36-40,Y,2.0,1,9,11-20,3023.5
3277,36-40,Y,2.0,1,9,41+,3260.0
3278,36-40,Y,2.0,1,9,5-10,3359.8
3279,36-40,Y,2.0,1,9,<5,3444.5
3280,36-40,Y,2.0,1,9,none,3268.2925925925924
3281,36-40,Y,2.0,2,1,11-20,2660.777777777778
3282,36-40,Y,2.0,2,1,21-40,2000.0
3283,36-40,Y,2.0,2,1,41+,3464.0
3284,36-40,Y,2.0,2,1,5-10,2950.818181818182
3285,36-40,Y,2.0,2,1,<5,2832.5
3286,36-40,Y,2.0,2,1,none,3251.8713646532437
3287,36-40,Y,2.0,2,2,11-20,3011.4444444444443
3288,36-40,Y,2.0,2,2,21-40,2857.875
3289,36-40,Y,2.0,2,2,41+,2584.4666666666667
3290,36-40,Y,2.0,2,2,5-10,2913.7798165137615
3291,36-40,Y,2.0,2,2,<5,2877.787878787879
3292,36-40,Y,2.0,2,2,none,3176.1879588839943
3293,36-40,Y,2.0,2,3,11-20,2919.8268156424583
3294,36-40,Y,2.0,2,3,21-40,2930.423076923077
3295,36-40,Y,2.0,2,3,41+,3145.5
3296,36-40,Y,2.0,2,3,5-10,2910.577540106952
3297,36-40,Y,2.0,2,3,<5,2952.264150943396
3298,36-40,Y,2.0,2,3,none,3134.902013422819
3299,36-40,Y,2.0,2,4,11-20,2959.3023255813955
3300,36-40,Y,2.0,2,4,21-40,3121.5
3301,36-40,Y,2.0,2,4,41+,3673.0
3302,36-40,Y,2.0,2,4,5-10,2939.5333333333333
3303,36-40,Y,2.0,2,4,<5,3007.764705882353
3304,36-40,Y,2.0,2,4,none,3212.0796703296705
3305,36-40,Y,2.0,2,5,11-20,2869.222222222222
3306,36-40,Y,2.0,2,5,41+,595.0
3307,36-40,Y,2.0,2,5,5-10,2933.0
3308,36-40,Y,2.0,2,5,<5,3291.75
3309,36-40,Y,2.0,2,5,none,3128.0851063829787
3310,36-40,Y,2.0,2,6,11-20,2659.5
3311,36-40,Y,2.0,2,6,21-40,2637.0
